,Date,Price,10-day SMA,10-day WMA,Smoothing Constant 2/(10 + 1),10-day EMA
1,24-Mar-10,22.273,,,,
2,25-Mar-10,22.194,,,,
3,26-Mar-10,22.085,,,,
4,29-Mar-10,22.174,,,,
5,30-Mar-10,22.184,,,,
6,31-Mar-10,22.134,,,,
7,1-Apr-10,22.234,,,,
8,5-Apr-10,22.432,,,,
9,6-Apr-10,22.244,,,,
10,7-Apr-10,22.293,22.225,22.247,,22.225
11,8-Apr-10,22.154,22.213,22.234,0.1818,22.212
12,9-Apr-10,22.393,22.233,22.266,0.1818,22.245
13,12-Apr-10,22.382,22.262,22.293,0.1818,22.270
14,13-Apr-10,22.611,22.306,22.357,0.1818,22.332
15,14-Apr-10,23.356,22.423,22.548,0.1818,22.518
16,15-Apr-10,24.052,22.615,22.844,0.1818,22.797
17,16-Apr-10,23.753,22.767,23.051,0.1818,22.971
18,19-Apr-10,23.832,22.907,23.244,0.1818,23.127
19,20-Apr-10,23.952,23.078,23.434,0.1818,23.277
20,21-Apr-10,23.634,23.212,23.535,0.1818,23.342
21,22-Apr-10,23.823,23.379,23.647,0.1818,23.429
22,23-Apr-10,23.872,23.527,23.736,0.1818,23.510
23,26-Apr-10,23.654,23.654,23.759,0.1818,23.536
24,27-Apr-10,23.187,23.711,23.674,0.1818,23.473
25,28-Apr-10,23.098,23.686,23.563,0.1818,23.404
26,29-Apr-10,23.326,23.613,23.498,0.1818,23.390
27,30-Apr-10,22.681,23.506,23.328,0.1818,23.261
28,3-May-10,23.098,23.432,23.254,0.1818,23.231
29,4-May-10,22.403,23.277,23.067,0.1818,23.081
30,5-May-10,22.173,23.131,22.866,0.1818,22.916